nodeID,name,longitude,latitude,nodeCode
1,Vilniaus apskritis,25.257781426912313,54.809012642648064,LT011
2,Alytaus apskritis,24.11081206360772,54.21646848311414,LT021
3,Kauno apskritis,23.882097483517153,55.07630660752151,LT022
4,Klaipėdos apskritis,21.485349509816153,55.72820477427441,LT023
5,Marijampolės apskritis,23.18147658752551,54.685548947608275,LT024
6,Panevėžio apskritis,24.7569261442922,55.92540324000539,LT025
7,Šiaulių apskritis,23.298870353814266,55.93268872336548,LT026
8,Tauragės apskritis,22.474592146476695,55.315250543491224,LT027
9,Telšių apskritis,22.178664024294548,56.000828489814644,LT028
10,Utenos apskritis,25.730591784256916,55.51675993508822,LT029
